Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,Status,rol
2018-12-22,Ana Rosa,-23.5813,-46.6383,64968,86,65,56,31,24,2,20,27,REABASTECER,11872
2019-1-1,Ana Rosa,-23.5813,-46.6383,66082,74,11,61,43,26,17,33,30,NORMAL,11881
2019-1-4,Ana Rosa,-23.5813,-46.6383,65412,41,60,43,26,17,43,17,17,NORMAL,11884
2019-1-5,Ana Rosa,-23.5813,-46.6383,65512,32,58,39,26,11,42,13,11,NORMAL,11885
2019-1-8,Ana Rosa,-23.5813,-46.6383,64466,86,34,20,24,43,30,4,40,NORMAL,11888
2019-1-12,Ana Rosa,-23.5813,-46.6383,67514,40,10,65,16,28,19,36,24,NORMAL,11892
2019-1-15,Ana Rosa,-23.5813,-46.6383,64435,7,61,36,10,18,10,23,16,NORMAL,11895
2019-1-16,Ana Rosa,-23.5813,-46.6383,67639,86,54,27,4,14,4,17,14,REABASTECER,11896
2019-1-21,Ana Rosa,-23.5813,-46.6383,67304,34,11,57,34,38,26,37,36,NORMAL,11901
2019-1-25,Ana Rosa,-23.5813,-46.6383,64991,86,53,31,18,21,9,24,24,NORMAL,11905
2019-2-5,Ana Rosa,-23.5813,-46.6383,65044,86,65,29,28,23,20,23,29,NORMAL,11915
2019-2-24,Ana Rosa,-23.5813,-46.6383,66375,69,13,45,17,33,18,40,32,NORMAL,11934
2019-3-4,Ana Rosa,-23.5813,-46.6383,66553,62,22,40,25,37,27,6,43,NORMAL,11944
2019-3-8,Ana Rosa,-23.5813,-46.6383,63921,27,56,15,16,24,17,26,26,NORMAL,11948
2019-3-9,Ana Rosa,-23.5813,-46.6383,64072,17,52,10,12,18,17,22,22,NORMAL,11949
2019-3-23,Ana Rosa,-23.5813,-46.6383,64104,59,37,47,7,2,34,43,8,REABASTECER,11963
2019-4-5,Ana Rosa,-23.5813,-46.6383,67681,22,36,28,25,37,43,35,43,NORMAL,11975
2019-4-9,Ana Rosa,-23.5813,-46.6383,64892,67,11,65,21,24,37,19,26,NORMAL,11979
2019-4-11,Ana Rosa,-23.5813,-46.6383,64407,50,65,54,17,20,30,10,22,NORMAL,11981
2019-4-26,Ana Rosa,-23.5813,-46.6383,64512,73,41,65,10,11,33,43,6,NORMAL,11996
2019-4-27,Ana Rosa,-23.5813,-46.6383,66419,65,34,59,4,9,28,37,43,NORMAL,11997
2019-5-5,Ana Rosa,-23.5813,-46.6383,65571,86,53,65,19,18,1,6,7,REABASTECER,12005
2019-5-10,Ana Rosa,-23.5813,-46.6383,65182,40,21,34,7,40,38,29,30,NORMAL,12010
2019-5-12,Ana Rosa,-23.5813,-46.6383,64889,22,7,18,43,34,36,17,21,NORMAL,12012
2019-5-17,Ana Rosa,-23.5813,-46.6383,63819,55,48,46,25,14,24,37,40,NORMAL,12017
2019-5-19,Ana Rosa,-23.5813,-46.6383,65070,39,38,36,21,10,14,32,33,NORMAL,12019
2019-5-26,Ana Rosa,-23.5813,-46.6383,64484,60,65,56,38,22,41,43,43,NORMAL,12026
2019-6-4,Ana Rosa,-23.5813,-46.6383,67339,72,24,65,13,30,14,15,13,NORMAL,12034
2019-6-5,Ana Rosa,-23.5813,-46.6383,67362,62,17,56,8,27,13,9,10,NORMAL,12035
2019-6-15,Ana Rosa,-23.5813,-46.6383,66287,45,32,55,23,32,18,15,11,NORMAL,12045
2019-6-16,Ana Rosa,-23.5813,-46.6383,64027,33,30,46,22,27,15,11,5,REABASTECER,12046
2019-7-12,Ana Rosa,-23.5813,-46.6383,64883,45,18,50,19,7,37,30,35,NORMAL,12072
2019-7-29,Ana Rosa,-23.5813,-46.6383,66982,45,59,2,9,18,13,3,39,REABASTECER,12089
2019-8-6,Ana Rosa,-23.5813,-46.6383,67348,68,20,28,28,40,36,23,12,NORMAL,12096
2019-9-25,Ana Rosa,-23.5813,-46.6383,64780,53,8,65,8,15,20,1,19,REABASTECER,12145
2019-10-12,Ana Rosa,-23.5813,-46.6383,65387,52,29,58,5,33,38,31,34,NORMAL,12162
2019-11-2,Ana Rosa,-23.5813,-46.6383,65627,39,28,49,33,43,34,23,26,NORMAL,12182
2019-11-6,Ana Rosa,-23.5813,-46.6383,67243,7,65,16,12,28,25,6,8,NORMAL,12186
2019-11-14,Ana Rosa,-23.5813,-46.6383,64439,18,12,13,34,32,43,12,21,NORMAL,12194
2019-11-17,Ana Rosa,-23.5813,-46.6383,66358,74,58,60,23,17,35,38,12,NORMAL,12197
2019-12-11,Ana Rosa,-23.5813,-46.6383,64940,22,58,18,36,8,5,31,39,REABASTECER,12221
2019-12-20,Ana Rosa,-23.5813,-46.6383,63992,23,56,23,43,12,14,36,7,NORMAL,12230
2019-12-23,Ana Rosa,-23.5813,-46.6383,64160,86,38,65,32,37,6,21,40,REABASTECER,12233
2019-12-24,Ana Rosa,-23.5813,-46.6383,65675,75,31,58,32,31,43,17,34,NORMAL,12234
2018-1-13,São Joaquim,-23.5618,-46.6389,33278,53,56,41,9,27,4,34,40,REABASTECER,12253
2018-1-24,São Joaquim,-23.5618,-46.6389,34380,29,43,18,25,31,8,30,43,NORMAL,12264
2018-1-25,São Joaquim,-23.5618,-46.6389,34766,17,38,9,21,28,5,25,41,REABASTECER,12265
2018-2-12,São Joaquim,-23.5618,-46.6389,35326,20,13,22,42,5,42,10,18,REABASTECER,12282
2018-2-25,São Joaquim,-23.5618,-46.6389,36038,77,65,61,13,43,33,43,11,NORMAL,12295
2018-3-11,São Joaquim,-23.5618,-46.6389,36051,17,16,23,14,18,30,13,34,NORMAL,12311
2018-3-18,São Joaquim,-23.5618,-46.6389,32607,32,37,38,32,36,7,32,4,REABASTECER,12318
2018-3-25,São Joaquim,-23.5618,-46.6389,34069,50,8,58,11,10,27,43,20,REABASTECER,12325
2018-4-9,São Joaquim,-23.5618,-46.6389,34882,86,46,32,15,43,18,30,4,NORMAL,12339
2018-4-19,São Joaquim,-23.5618,-46.6389,33803,79,60,34,27,41,24,38,7,NORMAL,12349
2018-5-15,São Joaquim,-23.5618,-46.6389,34528,74,14,65,10,20,15,30,39,NORMAL,12375
2018-5-29,São Joaquim,-23.5618,-46.6389,35251,12,58,25,20,7,15,19,28,REABASTECER,12389
2018-6-12,São Joaquim,-23.5618,-46.6389,34689,51,31,10,23,36,28,8,33,NORMAL,12402
2018-6-18,São Joaquim,-23.5618,-46.6389,34111,86,55,40,7,18,14,31,8,NORMAL,12408
2018-6-28,São Joaquim,-23.5618,-46.6389,35455,79,53,43,31,25,12,38,17,NORMAL,12418
2018-7-4,São Joaquim,-23.5618,-46.6389,34917,23,19,65,10,43,32,14,37,NORMAL,12424
2018-7-19,São Joaquim,-23.5618,-46.6389,35082,56,43,38,43,32,29,43,24,NORMAL,12439
2018-7-26,São Joaquim,-23.5618,-46.6389,35949,76,65,50,27,1,43,12,5,REABASTECER,12446
2018-8-5,São Joaquim,-23.5618,-46.6389,36153,62,18,56,42,14,15,24,19,NORMAL,12455
2018-8-7,São Joaquim,-23.5618,-46.6389,34275,38,4,38,38,7,6,17,12,NORMAL,12457
2018-8-8,São Joaquim,-23.5618,-46.6389,33413,25,65,30,38,2,43,12,6,REABASTECER,12458
2018-8-13,São Joaquim,-23.5618,-46.6389,34970,57,36,65,21,25,23,41,31,NORMAL,12463
2018-8-19,São Joaquim,-23.5618,-46.6389,33060,86,9,19,43,4,43,17,13,NORMAL,12469
2018-9-21,São Joaquim,-23.5618,-46.6389,35278,21,4,65,17,41,15,18,20,REABASTECER,12501
2018-10-11,São Joaquim,-23.5618,-46.6389,34885,76,13,65,14,35,17,20,25,NORMAL,12521
2018-10-14,São Joaquim,-23.5618,-46.6389,35421,40,62,40,10,23,8,8,11,NORMAL,12524
2018-11-4,São Joaquim,-23.5618,-46.6389,35959,22,25,25,32,25,31,15,17,NORMAL,12544
2018-11-9,São Joaquim,-23.5618,-46.6389,34586,53,51,60,7,5,15,38,41,NORMAL,12549
2018-11-25,São Joaquim,-23.5618,-46.6389,36519,61,20,17,29,16,20,11,20,NORMAL,12565
2018-12-1,São Joaquim,-23.5618,-46.6389,34022,86,47,49,21,36,43,26,37,NORMAL,12571
2018-12-2,São Joaquim,-23.5618,-46.6389,35723,78,41,40,18,33,40,21,34,NORMAL,12572
2018-12-4,São Joaquim,-23.5618,-46.6389,35283,60,23,30,14,26,37,15,27,NORMAL,12574
2018-12-21,São Joaquim,-23.5618,-46.6389,36205,57,37,45,27,43,10,33,43,NORMAL,12591
2018-12-24,São Joaquim,-23.5618,-46.6389,35569,26,13,23,16,34,43,23,31,NORMAL,12594
2019-1-1,São Joaquim,-23.5618,-46.6389,33250,51,36,45,36,6,25,32,43,REABASTECER,12601
2019-1-3,São Joaquim,-23.5618,-46.6389,36157,29,20,34,27,40,17,25,35,NORMAL,12603
2019-1-4,São Joaquim,-23.5618,-46.6389,34753,17,10,26,21,34,14,19,32,NORMAL,12604
2019-1-12,São Joaquim,-23.5618,-46.6389,36030,27,31,38,43,40,38,31,8,NORMAL,12612
2019-1-14,São Joaquim,-23.5618,-46.6389,34007,9,18,25,34,32,34,23,43,REABASTECER,12614
2019-1-24,São Joaquim,-23.5618,-46.6389,35915,79,28,24,39,37,1,25,11,NORMAL,12624
2019-2-27,São Joaquim,-23.5618,-46.6389,33206,18,7,45,21,31,24,38,11,NORMAL,12657
2019-3-4,São Joaquim,-23.5618,-46.6389,35304,31,28,56,12,1,7,5,25,REABASTECER,12664
2019-3-8,São Joaquim,-23.5618,-46.6389,32639,75,11,31,40,27,34,27,12,NORMAL,12668
2019-3-13,São Joaquim,-23.5618,-46.6389,33264,27,45,65,35,7,27,8,38,NORMAL,12673
2019-3-25,São Joaquim,-23.5618,-46.6389,35607,86,39,34,43,41,33,4,30,NORMAL,12685
2019-4-2,São Joaquim,-23.5618,-46.6389,32631,17,8,45,16,12,18,18,39,REABASTECER,12692
2019-4-7,São Joaquim,-23.5618,-46.6389,33273,53,41,10,36,33,43,38,20,NORMAL,12697
2019-5-2,São Joaquim,-23.5618,-46.6389,34074,66,18,29,15,27,19,24,22,NORMAL,12722
2019-5-12,São Joaquim,-23.5618,-46.6389,34580,68,22,27,27,27,25,30,27,NORMAL,12732
2019-5-17,São Joaquim,-23.5618,-46.6389,36158,23,51,65,17,9,15,10,43,NORMAL,12737
2019-5-27,São Joaquim,-23.5618,-46.6389,36304,14,60,65,17,19,30,3,43,REABASTECER,12747
2019-6-4,São Joaquim,-23.5618,-46.6389,35251,30,23,13,32,31,5,19,13,REABASTECER,12754
2019-6-8,São Joaquim,-23.5618,-46.6389,33102,74,65,51,22,13,31,43,40,NORMAL,12758
2019-6-12,São Joaquim,-23.5618,-46.6389,34295,33,41,21,9,38,14,30,27,NORMAL,12762
2019-6-14,São Joaquim,-23.5618,-46.6389,34634,18,27,4,43,28,5,21,21,REABASTECER,12764
2019-6-27,São Joaquim,-23.5618,-46.6389,34589,63,22,34,5,20,14,13,20,NORMAL,12777
2019-7-2,São Joaquim,-23.5618,-46.6389,33859,17,55,65,31,43,35,36,43,NORMAL,12782
2019-7-10,São Joaquim,-23.5618,-46.6389,35893,32,9,5,16,15,16,43,14,REABASTECER,12790
2019-7-11,São Joaquim,-23.5618,-46.6389,36545,19,65,65,15,13,13,41,8,NORMAL,12791
2019-7-25,São Joaquim,-23.5618,-46.6389,34398,48,47,28,5,43,15,18,40,NORMAL,12805
2019-8-26,São Joaquim,-23.5618,-46.6389,32867,7,49,65,33,8,7,27,43,NORMAL,12836
2019-9-1,São Joaquim,-23.5618,-46.6389,32619,51,23,30,14,29,37,9,21,NORMAL,12841
2019-9-28,São Joaquim,-23.5618,-46.6389,33033,52,49,29,13,31,9,23,34,NORMAL,12868
2019-10-6,São Joaquim,-23.5618,-46.6389,33264,62,6,44,31,5,23,35,6,REABASTECER,12876
2019-10-16,São Joaquim,-23.5618,-46.6389,34652,64,65,19,43,5,39,36,43,NORMAL,12886
2019-11-4,São Joaquim,-23.5618,-46.6389,33331,57,19,22,33,14,23,43,8,NORMAL,12904
2019-11-9,São Joaquim,-23.5618,-46.6389,33741,12,53,51,20,37,8,26,26,NORMAL,12909
2019-11-16,São Joaquim,-23.5618,-46.6389,35465,25,19,6,39,18,24,34,41,NORMAL,12916
2019-11-22,São Joaquim,-23.5618,-46.6389,35352,64,40,31,19,40,43,6,20,REABASTECER,12922
2019-11-28,São Joaquim,-23.5618,-46.6389,36284,1,12,49,43,17,29,23,39,REABASTECER,12928
2019-12-4,São Joaquim,-23.5618,-46.6389,33402,34,35,8,24,35,10,43,12,REABASTECER,12934
2019-12-11,São Joaquim,-23.5618,-46.6389,35718,53,47,27,9,13,27,8,27,NORMAL,12941
2019-12-16,São Joaquim,-23.5618,-46.6389,35953,86,17,61,34,35,13,33,5,REABASTECER,12946
2019-12-17,São Joaquim,-23.5618,-46.6389,33123,73,7,52,29,33,10,31,43,NORMAL,12947
2019-12-26,São Joaquim,-23.5618,-46.6389,36273,67,65,45,43,43,26,43,43,NORMAL,12956
2018-1-2,São Judas,-23.6255,-46.6411,17030,79,63,61,39,37,37,41,39,NORMAL,12962
2018-1-4,São Judas,-23.6255,-46.6411,16957,64,49,45,33,30,28,30,30,NORMAL,12964
2018-1-14,São Judas,-23.6255,-46.6411,16674,69,62,42,8,33,41,31,29,NORMAL,12974
2018-1-17,São Judas,-23.6255,-46.6411,16985,34,41,23,43,23,34,15,18,NORMAL,12977
2018-1-25,São Judas,-23.6255,-46.6411,14054,38,59,27,21,32,7,27,23,NORMAL,12985
2018-1-27,São Judas,-23.6255,-46.6411,16818,17,42,15,14,25,43,15,17,NORMAL,12987
2018-1-29,São Judas,-23.6255,-46.6411,14304,86,28,65,9,17,40,4,8,NORMAL,12989
2018-2-1,São Judas,-23.6255,-46.6411,14984,72,22,52,43,9,37,39,43,NORMAL,12991
2018-2-2,São Judas,-23.6255,-46.6411,17074,60,20,44,41,7,33,33,40,NORMAL,12992
2018-2-7,São Judas,-23.6255,-46.6411,17153,10,62,10,24,27,13,14,15,NORMAL,12997
2018-2-28,São Judas,-23.6255,-46.6411,17396,44,9,18,18,23,43,18,5,NORMAL,13018
2018-3-12,São Judas,-23.6255,-46.6411,15610,86,48,60,20,12,31,43,37,NORMAL,13032
2018-3-17,São Judas,-23.6255,-46.6411,17277,38,22,20,9,35,17,21,14,NORMAL,13037
2018-3-18,São Judas,-23.6255,-46.6411,16434,25,15,12,3,29,15,18,9,REABASTECER,13038
2018-3-19,São Judas,-23.6255,-46.6411,14267,13,9,4,43,27,12,14,4,NORMAL,13039
2018-3-26,São Judas,-23.6255,-46.6411,15341,36,28,29,34,40,27,24,24,NORMAL,13046
2018-3-28,São Judas,-23.6255,-46.6411,14954,16,22,13,31,34,25,12,12,NORMAL,13048
2018-4-1,São Judas,-23.6255,-46.6411,16348,75,65,60,17,22,18,43,43,NORMAL,13051
2018-4-7,São Judas,-23.6255,-46.6411,15857,26,27,11,43,39,40,17,23,NORMAL,13057
2018-4-24,São Judas,-23.6255,-46.6411,15981,36,52,21,36,19,43,33,38,NORMAL,13074
2018-4-30,São Judas,-23.6255,-46.6411,15181,71,22,49,18,37,25,7,11,NORMAL,13080
2018-5-3,São Judas,-23.6255,-46.6411,14076,43,65,23,10,26,12,41,43,NORMAL,13083
2018-5-5,São Judas,-23.6255,-46.6411,14180,20,57,12,8,19,8,34,34,NORMAL,13085
2018-5-12,São Judas,-23.6255,-46.6411,16901,46,65,36,21,37,28,9,3,REABASTECER,13092
2018-5-14,São Judas,-23.6255,-46.6411,16190,26,56,23,16,29,19,43,39,NORMAL,13094
2018-5-28,São Judas,-23.6255,-46.6411,16070,61,33,47,15,15,21,34,29,NORMAL,13108
2018-6-8,São Judas,-23.6255,-46.6411,16750,43,34,35,32,14,43,43,29,NORMAL,13118
2018-6-14,São Judas,-23.6255,-46.6411,16726,76,57,65,5,34,25,23,5,NORMAL,13124
2018-6-22,São Judas,-23.6255,-46.6411,17327,4,11,13,14,43,43,38,18,REABASTECER,13132
2018-7-6,São Judas,-23.6255,-46.6411,16606,36,2,45,22,34,43,29,43,NORMAL,13146
2018-7-17,São Judas,-23.6255,-46.6411,17019,22,47,30,34,33,4,27,43,NORMAL,13157
2018-7-18,São Judas,-23.6255,-46.6411,16272,9,38,23,28,31,43,24,38,NORMAL,13158
2018-7-19,São Judas,-23.6255,-46.6411,13857,86,32,16,23,27,41,21,36,NORMAL,13159
2018-7-20,São Judas,-23.6255,-46.6411,17038,78,26,6,18,23,40,17,33,NORMAL,13160
2018-7-24,São Judas,-23.6255,-46.6411,15161,33,65,48,6,8,31,43,22,REABASTECER,13164
2018-7-29,São Judas,-23.6255,-46.6411,14375,61,46,13,37,27,17,25,5,NORMAL,13169
2018-8-1,São Judas,-23.6255,-46.6411,17403,41,29,65,28,23,8,17,40,NORMAL,13171
2018-8-9,São Judas,-23.6255,-46.6411,13873,38,44,8,8,33,29,23,6,NORMAL,13179
2018-9-2,São Judas,-23.6255,-46.6411,15787,66,53,45,22,33,36,17,32,NORMAL,13202
2018-9-18,São Judas,-23.6255,-46.6411,16250,5,9,65,22,12,21,43,14,REABASTECER,13218
2018-9-19,São Judas,-23.6255,-46.6411,16417,86,65,61,19,8,17,41,9,NORMAL,13219
2018-9-20,São Judas,-23.6255,-46.6411,16738,75,59,51,16,2,17,39,6,REABASTECER,13220
2018-9-27,São Judas,-23.6255,-46.6411,16519,5,19,5,27,22,39,12,20,REABASTECER,13227
2018-10-27,São Judas,-23.6255,-46.6411,13808,56,25,65,17,38,20,18,27,NORMAL,13257
2018-11-2,São Judas,-23.6255,-46.6411,17480,5,65,31,42,19,7,41,9,REABASTECER,13262
2018-11-10,São Judas,-23.6255,-46.6411,16091,26,18,35,19,24,30,10,19,NORMAL,13270
2018-11-18,São Judas,-23.6255,-46.6411,17295,38,35,49,31,26,14,25,29,NORMAL,13278
2018-11-29,São Judas,-23.6255,-46.6411,16593,16,24,27,37,19,26,22,26,NORMAL,13289
2018-12-5,São Judas,-23.6255,-46.6411,17421,47,48,57,12,43,4,37,40,REABASTECER,13295
2018-12-7,São Judas,-23.6255,-46.6411,15460,27,34,41,1,37,43,30,32,REABASTECER,13297
2018-12-17,São Judas,-23.6255,-46.6411,16704,14,35,44,11,37,22,31,37,NORMAL,13307
2019-1-8,São Judas,-23.6255,-46.6411,14227,6,54,23,32,31,43,31,30,NORMAL,13328
2019-1-23,São Judas,-23.6255,-46.6411,15062,32,31,55,25,15,33,9,16,NORMAL,13343
2019-1-24,São Judas,-23.6255,-46.6411,17249,19,23,48,25,12,28,5,13,NORMAL,13344
2019-2-2,São Judas,-23.6255,-46.6411,15312,24,29,65,39,26,43,12,20,NORMAL,13352
2019-2-4,São Judas,-23.6255,-46.6411,17185,4,16,52,37,19,41,5,11,REABASTECER,13354
2019-2-20,São Judas,-23.6255,-46.6411,17401,28,55,12,19,32,31,28,39,NORMAL,13370
2019-2-22,São Judas,-23.6255,-46.6411,14952,8,47,65,9,27,26,17,28,NORMAL,13372
2019-2-26,São Judas,-23.6255,-46.6411,15535,57,25,37,40,12,18,43,13,NORMAL,13376
2019-3-3,São Judas,-23.6255,-46.6411,14006,70,42,51,14,27,41,14,36,NORMAL,13383
2019-3-6,São Judas,-23.6255,-46.6411,17525,43,20,31,5,16,35,43,24,REABASTECER,13386
2019-3-20,São Judas,-23.6255,-46.6411,14519,73,55,65,43,39,33,30,13,NORMAL,13400
2019-4-1,São Judas,-23.6255,-46.6411,13927,51,56,38,7,34,3,27,13,NORMAL,13411
2019-4-2,São Judas,-23.6255,-46.6411,14602,43,46,28,2,28,43,23,7,REABASTECER,13412
2019-4-4,São Judas,-23.6255,-46.6411,15875,22,39,16,38,21,36,15,43,NORMAL,13414
2019-4-11,São Judas,-23.6255,-46.6411,15120,42,65,41,14,31,17,28,13,NORMAL,13421
2019-4-20,São Judas,-23.6255,-46.6411,16672,50,13,35,35,40,43,32,23,NORMAL,13430
2019-5-4,São Judas,-23.6255,-46.6411,17233,11,57,22,33,19,43,25,7,REABASTECER,13444
2019-5-29,São Judas,-23.6255,-46.6411,14323,86,45,2,36,43,8,13,34,REABASTECER,13469
2019-5-30,São Judas,-23.6255,-46.6411,14833,74,36,65,33,37,5,9,30,REABASTECER,13470
2019-6-8,São Judas,-23.6255,-46.6411,16482,73,44,4,9,6,21,25,41,REABASTECER,13478
2019-6-19,São Judas,-23.6255,-46.6411,16879,59,44,65,16,41,37,27,29,NORMAL,13489
2019-7-3,São Judas,-23.6255,-46.6411,15678,11,30,28,10,24,26,17,14,REABASTECER,13503
2019-7-18,São Judas,-23.6255,-46.6411,14070,34,9,57,12,2,27,39,39,REABASTECER,13518
2019-8-6,São Judas,-23.6255,-46.6411,16288,29,38,16,30,21,12,15,13,NORMAL,13536
2019-8-10,São Judas,-23.6255,-46.6411,15850,86,12,51,16,43,40,43,43,NORMAL,13540
2019-8-17,São Judas,-23.6255,-46.6411,14516,15,32,60,41,15,12,10,19,NORMAL,13547
2019-8-28,São Judas,-23.6255,-46.6411,15776,76,33,50,20,11,20,8,18,NORMAL,13558
2019-8-29,São Judas,-23.6255,-46.6411,13980,65,30,41,16,8,14,2,16,REABASTECER,13559
2019-9-2,São Judas,-23.6255,-46.6411,14870,28,14,23,7,41,43,34,4,REABASTECER,13562
2019-9-17,São Judas,-23.6255,-46.6411,15572,51,40,46,43,21,41,20,23,NORMAL,13577
2019-9-18,São Judas,-23.6255,-46.6411,15431,40,38,41,41,15,39,18,18,NORMAL,13578
2019-10-2,São Judas,-23.6255,-46.6411,16887,86,22,5,37,6,43,43,3,NORMAL,13592
2019-10-5,São Judas,-23.6255,-46.6411,15717,54,65,48,28,34,40,30,33,NORMAL,13595
2019-10-6,São Judas,-23.6255,-46.6411,14656,44,58,40,25,29,39,28,30,NORMAL,13596
2019-10-17,São Judas,-23.6255,-46.6411,14414,21,65,24,34,23,10,28,29,NORMAL,13607
2019-10-20,São Judas,-23.6255,-46.6411,14125,86,41,65,26,14,5,13,12,NORMAL,13610
2019-10-25,São Judas,-23.6255,-46.6411,16247,31,11,30,9,34,28,32,35,NORMAL,13615
2019-10-28,São Judas,-23.6255,-46.6411,15053,86,58,11,4,25,21,23,22,REABASTECER,13618
2019-11-3,São Judas,-23.6255,-46.6411,17490,28,26,43,37,1,6,5,43,NORMAL,13623
2019-11-7,São Judas,-23.6255,-46.6411,14797,73,65,16,31,33,38,31,29,NORMAL,13627
2019-11-11,São Judas,-23.6255,-46.6411,13923,35,40,56,17,21,28,16,14,NORMAL,13631
2019-11-19,São Judas,-23.6255,-46.6411,14370,44,59,3,35,32,42,26,21,NORMAL,13639
2019-12-4,São Judas,-23.6255,-46.6411,16625,78,36,36,36,18,43,8,3,NORMAL,13654
2019-12-11,São Judas,-23.6255,-46.6411,15342,14,65,61,15,29,25,20,25,NORMAL,13661
2019-12-15,São Judas,-23.6255,-46.6411,13919,62,48,35,42,12,18,4,11,REABASTECER,13665
2018-1-13,Vila Mariana,-23.5895,-46.6346,22423,59,65,40,20,39,9,43,34,NORMAL,13693
2018-1-24,Vila Mariana,-23.5895,-46.6346,21349,36,54,39,20,43,18,41,29,NORMAL,13704
2018-1-29,Vila Mariana,-23.5895,-46.6346,24555,73,34,65,7,22,8,23,14,NORMAL,13709
2018-2-17,Vila Mariana,-23.5895,-46.6346,24976,73,53,5,31,5,39,36,27,REABASTECER,13727
2018-2-22,Vila Mariana,-23.5895,-46.6346,24013,25,20,40,10,23,18,19,43,NORMAL,13732
2018-3-2,Vila Mariana,-23.5895,-46.6346,21885,17,14,34,39,21,26,25,8,NORMAL,13742
2018-3-3,Vila Mariana,-23.5895,-46.6346,23396,4,11,29,33,17,26,21,3,REABASTECER,13743
2018-3-22,Vila Mariana,-23.5895,-46.6346,23248,86,27,24,12,31,41,32,18,NORMAL,13762
2018-4-6,Vila Mariana,-23.5895,-46.6346,23941,34,7,65,17,19,29,26,2,REABASTECER,13776
2018-4-10,Vila Mariana,-23.5895,-46.6346,21349,86,45,35,10,43,22,16,32,NORMAL,13780
2018-4-14,Vila Mariana,-23.5895,-46.6346,23198,44,14,5,37,33,12,43,16,REABASTECER,13784
2018-4-18,Vila Mariana,-23.5895,-46.6346,25028,10,56,43,18,22,43,25,40,REABASTECER,13788
2018-4-22,Vila Mariana,-23.5895,-46.6346,22283,51,28,9,6,11,36,7,24,NORMAL,13792
2018-4-23,Vila Mariana,-23.5895,-46.6346,22984,38,25,65,43,8,36,2,21,NORMAL,13793
2018-4-28,Vila Mariana,-23.5895,-46.6346,24099,77,65,28,28,33,16,28,43,NORMAL,13798
2018-5-10,Vila Mariana,-23.5895,-46.6346,24775,56,55,14,30,22,24,24,34,NORMAL,13810
2018-5-12,Vila Mariana,-23.5895,-46.6346,24923,35,37,0,25,15,13,14,24,NORMAL,13812
2018-5-13,Vila Mariana,-23.5895,-46.6346,22455,24,33,65,25,11,8,9,18,NORMAL,13813
2018-5-27,Vila Mariana,-23.5895,-46.6346,22493,67,9,38,33,43,5,38,43,REABASTECER,13827
2018-6-2,Vila Mariana,-23.5895,-46.6346,24608,27,40,5,23,28,32,20,21,REABASTECER,13832
2018-7-8,Vila Mariana,-23.5895,-46.6346,22280,34,18,21,28,38,43,9,43,NORMAL,13868
2018-7-27,Vila Mariana,-23.5895,-46.6346,24814,14,41,24,37,4,22,13,12,NORMAL,13887
2018-8-15,Vila Mariana,-23.5895,-46.6346,23016,9,63,26,28,19,6,19,29,NORMAL,13905
2018-8-18,Vila Mariana,-23.5895,-46.6346,24938,70,47,65,16,11,38,10,21,NORMAL,13908
2018-8-19,Vila Mariana,-23.5895,-46.6346,22497,63,40,57,12,8,38,8,17,NORMAL,13909
2018-8-26,Vila Mariana,-23.5895,-46.6346,21735,73,59,10,27,22,21,25,35,NORMAL,13916
2018-9-3,Vila Mariana,-23.5895,-46.6346,21793,86,20,32,43,43,42,40,7,NORMAL,13923
2018-9-9,Vila Mariana,-23.5895,-46.6346,24111,26,44,65,20,13,28,15,29,NORMAL,13929
2018-9-10,Vila Mariana,-23.5895,-46.6346,23578,14,41,59,15,10,22,11,26,NORMAL,13930
2018-9-11,Vila Mariana,-23.5895,-46.6346,23258,2,37,49,9,4,20,9,23,NORMAL,13931
2018-9-14,Vila Mariana,-23.5895,-46.6346,23171,68,13,33,43,36,9,40,9,NORMAL,13934
2018-9-15,Vila Mariana,-23.5895,-46.6346,24458,57,11,26,37,30,9,34,3,NORMAL,13935
2018-9-24,Vila Mariana,-23.5895,-46.6346,23285,43,26,41,13,39,17,39,10,NORMAL,13944
2018-9-30,Vila Mariana,-23.5895,-46.6346,24866,64,54,59,31,15,4,9,31,REABASTECER,13950
2018-10-1,Vila Mariana,-23.5895,-46.6346,23009,51,48,50,27,10,43,3,28,REABASTECER,13951
2018-10-4,Vila Mariana,-23.5895,-46.6346,24524,20,30,33,16,37,36,39,17,NORMAL,13954
2018-10-11,Vila Mariana,-23.5895,-46.6346,22156,33,57,49,38,12,7,12,30,NORMAL,13961
2018-10-16,Vila Mariana,-23.5895,-46.6346,24175,68,27,24,24,35,35,35,8,NORMAL,13966
2018-10-18,Vila Mariana,-23.5895,-46.6346,21758,49,16,12,20,27,30,29,43,NORMAL,13968
2018-10-21,Vila Mariana,-23.5895,-46.6346,21796,13,65,55,15,15,26,18,29,NORMAL,13971
2018-10-22,Vila Mariana,-23.5895,-46.6346,22738,4,56,50,13,9,25,13,23,REABASTECER,13972
2018-10-26,Vila Mariana,-23.5895,-46.6346,23147,57,29,25,2,34,16,37,5,REABASTECER,13976
2018-10-27,Vila Mariana,-23.5895,-46.6346,24000,46,22,18,43,30,13,35,43,NORMAL,13977
